,Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp,Charge,Total Charge,Charge Density,Charge Integral,Anodal Charge Integral,Cathodal Charge Integral,Anodal Charge Storage Capacity,Cathodal Charge Storage Capacity,Date,Time,Site
1622,462,92.6,2.29926E-001,1.81879e-10,0.00000E+000,2.30000E-001,1.02562E-003,4,..........a,-327.66,3.5759171518343044e-08,-8.185200398400794e-06,-0.4092600199200397,0.0017879585759171522,0.0017879585759171522,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1623,463,92.8,2.40024E-001,1.82446e-10,0.00000E+000,2.40000E-001,1.01872E-003,4,..........a,-327.66,3.643257286514573e-08,-8.148767825535648e-06,-0.4074383912767824,0.0018216286432572862,0.0018216286432572862,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1624,464,93,2.50047E-001,1.85613e-10,0.00000E+000,2.50000E-001,9.86822E-004,4,..........a,-327.66,3.6805973611947225e-08,-8.1119618519237e-06,-0.40559809259618496,0.001840298680597361,0.001840298680597361,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1625,465,93.2,2.60048E-001,1.89616e-10,0.00000E+000,2.60000E-001,1.00712E-003,4,..........a,-327.66,3.7522975045950095e-08,-8.074438876877749e-06,-0.40372194384388743,0.0018761487522975047,0.0018761487522975047,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1626,466,93.4,2.69966E-001,1.91512e-10,0.00000E+000,2.70000E-001,9.96122E-004,4,..........a,-327.66,3.811287622575246e-08,-8.036326000651996e-06,-0.40181630003259977,0.0019056438112876226,0.0019056438112876226,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1627,467,93.6,2.80026E-001,1.96201e-10,0.00000E+000,2.80000E-001,1.02112E-003,4,..........a,-327.66,3.8771377542755096e-08,-7.99755462310924e-06,-0.399877731155462,0.0019385688771377547,0.0019385688771377547,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1628,468,93.8,2.90016E-001,1.97905e-10,0.00000E+000,2.90000E-001,1.01732E-003,4,..........a,-327.66,3.941067882135764e-08,-7.958143944287883e-06,-0.3979071972143941,0.001970533941067882,0.001970533941067882,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1629,469,94,3.00050E-001,2.0061e-10,0.00000E+000,3.00000E-001,1.00352E-003,4,..........a,-327.66,3.985157970315941e-08,-7.918292364584724e-06,-0.3959146182292361,0.0019925789851579704,0.0019925789851579704,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1630,470,94.2,3.10008E-001,2.02724e-10,0.00000E+000,3.10000E-001,1.01102E-003,4,..........a,-327.66,4.033348066696134e-08,-7.877958883917763e-06,-0.3938979441958881,0.002016674033348067,0.002016674033348067,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1631,471,94.4,3.20037E-001,2.03957e-10,0.00000E+000,3.20000E-001,1.01322E-003,4,..........a,-327.66,4.066818133636268e-08,-7.8372907025814e-06,-0.39186453512906994,0.002033409066818134,0.002033409066818134,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
