,Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,Date,Site
1451,48,18:36:28,1.584686,130866.6,-465915.2,1,483945.3,-74.31097,3.497442E-009,4.029552E-005,4,2024-04-24,E09
1452,49,18:36:28,1.266892,164970,-561914.4,1,585630.4,-73.63852,3.472848E-009,3.972891E-005,4,2024-04-24,E09
1453,50,18:36:28,0.999041,212164.9,-683559.8,1,715729,-72.75658,3.450488E-009,3.406005E-005,4,2024-04-24,E09
1454,51,18:36:28,0.7923428,272514.6,-824439.8,1,868311.7,-71.70895,3.435369E-009,3.498442E-005,4,2024-04-24,E09
1455,52,18:36:28,0.6334459,348052.8,-984138,1,1043872,-70.52322,3.394747E-009,3.580403E-005,4,2024-04-24,E09
1456,53,18:36:28,0.5040323,447642.1,-1172438,1,1254987,-69.10291,3.372998E-009,3.677775E-005,4,2024-04-24,E09
1457,54,18:36:28,0.400641,575760.1,-1389525,1,1504087,-67.49296,3.338005E-009,3.584442E-005,4,2024-04-24,E09
1458,55,18:36:28,0.316723,742155.4,-1639848,1,1799971,-65.64965,3.311008E-009,3.723922E-005,4,2024-04-24,E09
1459,56,18:36:28,0.2520161,942640.2,-1910097,1,2130033,-63.73348,3.280936E-009,4.172537E-005,4,2024-04-24,E09
1460,57,18:36:28,0.2003205,1187972,-2208430,1,2507676,-61.72305,3.245674E-009,3.614637E-005,4,2024-04-24,E09
1461,58,18:36:28,0.1588983,1484029,-2536720,1,2938927,-59.67157,3.19514E-009,3.941781E-005,4,2024-04-24,E09
1462,59,18:36:28,0.1260081,1833436,-2891636,1,3423894,-57.62334,3.142915E-009,4.43859E-005,4,2024-04-24,E09
1463,60,18:36:28,0.1001603,2237262,-3272617,1,3964261,-55.64228,3.082877E-009,4.238478E-005,4,2024-04-24,E09
1464,0,18:48:28,100078.1,1235.898,-639.4946,1,1391.545,-27.35855,2.417852E-008,-1.485315E-005,7,2024-04-24,E10
1465,1,18:48:28,79453.13,1311.923,-730.7548,1,1501.714,-29.11826,2.239534E-008,-1.621721E-005,7,2024-04-24,E10
1466,2,18:48:28,63140.62,1403.564,-832.8842,1,1632.081,-30.68518,2.166566E-008,-1.71227E-005,7,2024-04-24,E10
1467,3,18:48:28,50203.12,1512.801,-945.7108,1,1784.078,-32.01111,1.911535E-008,-1.794063E-005,7,2024-04-24,E10
1468,4,18:48:28,39890.62,1642.207,-1067.57,1,1958.711,-33.02718,2.18595E-008,-1.877041E-005,7,2024-04-24,E10
1469,5,18:48:28,31640.63,1795.813,-1197.431,1,2158.421,-33.69498,2.160333E-008,-1.76977E-005,7,2024-04-24,E10
1470,6,18:48:28,25171.88,1970.884,-1332.734,1,2379.194,-34.067,2.12486E-008,-1.883205E-005,7,2024-04-24,E10
1471,7,18:48:28,20015.62,2173.801,-1472.285,1,2625.459,-34.10924,2.051839E-008,-2.115707E-005,7,2024-04-24,E10
1472,8,18:48:28,15890.62,2402.784,-1608.466,1,2891.459,-33.79905,2.081204E-008,-2.245943E-005,7,2024-04-24,E10
1473,9,18:48:28,12609.38,2656.811,-1745.139,1,3178.703,-33.2991,1.99391E-008,-2.270007E-005,7,2024-04-24,E10
1474,10,18:48:28,10078.13,2925.711,-1868.123,1,3471.263,-32.55902,2.297561E-008,-1.530472E-005,7,2024-04-24,E10
1475,11,18:48:28,8015.625,3218.338,-1985.825,1,3781.693,-31.67601,2.217442E-008,-2.129458E-005,7,2024-04-24,E10
1476,12,18:48:28,6328.125,3546.173,-2082.535,1,4112.456,-30.42413,8.603582E-009,-1.823228E-005,6,2024-04-24,E10
1477,13,18:48:28,5015.625,3864.917,-2186.749,1,4440.66,-29.50094,8.495137E-009,-2.439074E-005,6,2024-04-24,E10
1478,14,18:48:28,3984.375,4182.013,-2287.64,1,4766.815,-28.67949,9.12117E-009,-1.859861E-005,6,2024-04-24,E10
1479,15,18:48:28,3170.956,4499.619,-2389.018,1,5094.504,-27.96553,8.702985E-009,-2.082204E-005,6,2024-04-24,E10
1480,16,18:48:28,2527.573,4807.082,-2500.095,1,5418.349,-27.4783,9.103969E-009,-2.016814E-005,6,2024-04-24,E10
1481,17,18:48:28,1976.103,5138.148,-2641.739,1,5777.487,-27.2096,8.5439E-009,-1.934784E-005,6,2024-04-24,E10
1482,18,18:48:28,1577.524,5441.233,-2799.223,1,6119.042,-27.2234,8.743288E-009,-1.831187E-005,6,2024-04-24,E10
1483,19,18:48:28,1265.625,5730.721,-2992.281,1,6464.898,-27.5712,8.1873E-009,-2.027753E-005,6,2024-04-24,E10
1484,20,18:48:28,998.264,6049.39,-3256.306,1,6870.127,-28.29299,8.830114E-009,-2.091263E-005,6,2024-04-24,E10
1485,21,18:48:28,796.875,6360.186,-3573.147,1,7295.159,-29.32724,7.830847E-009,-2.19564E-005,6,2024-04-24,E10
1486,22,18:48:28,627.7902,6701.181,-3993.098,1,7800.683,-30.78985,8.860504E-009,-1.912702E-005,6,2024-04-24,E10
1487,23,18:48:28,505.5147,7026.477,-4464.037,1,8324.603,-32.42847,7.563142E-009,-2.014117E-005,6,2024-04-24,E10
1488,24,18:48:28,397.9953,7417.832,-5106.097,1,9005.356,-34.54175,7.596593E-009,-1.851058E-005,6,2024-04-24,E10
1489,25,18:48:28,315.5048,7836.362,-5873.413,1,9793.14,-36.85184,7.53063E-009,-1.825384E-005,6,2024-04-24,E10
1490,26,18:48:28,252.4038,8281.938,-6767.406,1,10695.25,-39.25323,7.601507E-009,-1.856681E-005,6,2024-04-24,E10
1491,27,18:48:28,198.6229,8818.252,-7932.637,1,11861.21,-41.97361,7.586465E-009,-1.860411E-005,6,2024-04-24,E10
1492,28,18:48:28,158.3615,9388.5,-9266.983,1,13191.7,-44.6268,7.621201E-009,-1.892194E-005,6,2024-04-24,E10
1493,29,18:48:28,125.558,10042.54,-10916.8,1,14833.38,-47.38855,7.52384E-009,-1.987033E-005,6,2024-04-24,E10
1494,30,18:48:28,100.4464,10746.89,-12830.8,1,16736.94,-50.05094,7.608708E-009,-1.936153E-005,6,2024-04-24,E10
1495,31,18:48:28,79.00281,11598.75,-15328.21,1,19221.99,-52.88545,7.626889E-009,-1.626079E-005,6,2024-04-24,E10
1496,32,18:48:28,63.3446,12475.46,-18115.65,1,21995.77,-55.44652,7.607968E-009,-2.130787E-005,6,2024-04-24,E10
1497,33,18:48:28,49.86702,13535.36,-21792.52,1,25653.85,-58.15553,7.617901E-009,-1.689125E-005,6,2024-04-24,E10
1498,34,18:48:28,39.72458,14658.83,-26079.88,1,29917.24,-60.66077,7.53567E-009,-2.221769E-005,6,2024-04-24,E10
1499,35,18:48:28,31.6723,15891.92,-31293.65,1,35097.66,-63.07707,7.589794E-009,-1.987719E-005,6,2024-04-24,E10
1500,36,18:48:28,24.93351,17336.4,-38105.81,1,41864.11,-65.53664,7.608623E-009,-1.991684E-005,6,2024-04-24,E10
1501,37,18:48:28,19.86229,18820.73,-46046.55,1,49744.39,-67.76855,5.864218E-009,4.018198E-005,5,2024-04-24,E10
1502,38,18:48:28,15.83615,20577.27,-55902.21,1,59569.13,-69.79164,5.939303E-009,3.745579E-005,5,2024-04-24,E10
1503,39,18:48:28,12.40079,22859.53,-69207.55,1,72885.13,-71.72141,5.981719E-009,3.522031E-005,5,2024-04-24,E10
1504,40,18:48:28,9.93114,25388.91,-84202.24,1,87946.66,-73.22073,6.093984E-009,3.839514E-005,5,2024-04-24,E10
1505,41,18:48:28,7.944915,28515.79,-102742.5,1,106626.3,-74.4882,6.116721E-009,3.969888E-005,5,2024-04-24,E10
1506,42,18:48:28,6.317385,32604.5,-126226.1,1,130369,-75.51692,6.161459E-009,3.832988E-005,5,2024-04-24,E10
1507,43,18:48:28,5.008013,37867.73,-155519.1,1,160063,-76.31521,6.155978E-009,3.852262E-005,5,2024-04-24,E10
1508,44,18:48:28,3.945707,44861.96,-192656.9,1,197811.2,-76.89173,6.137582E-009,3.934701E-005,5,2024-04-24,E10
1509,45,18:48:28,3.158693,53263.45,-235200.9,1,241156.5,-77.24006,6.134389E-009,4.293695E-005,5,2024-04-24,E10
1510,46,18:48:28,2.504006,64788.14,-289983.5,1,297132.9,-77.40581,6.137555E-009,3.985037E-005,5,2024-04-24,E10
1511,47,18:48:28,1.998082,78893.34,-354639.2,1,363308.5,-77.45816,6.141338E-009,4.308361E-005,5,2024-04-24,E10
1512,48,18:48:28,1.584686,97666.9,-436011.8,1,446816.7,-77.37414,6.132185E-009,4.943495E-005,5,2024-04-24,E10
1513,49,18:48:28,1.266892,121585.1,-531882.1,1,545601.9,-77.12376,5.995346E-009,2.226161E-005,4,2024-04-24,E10
1514,50,18:48:28,0.999041,155487.2,-656677.9,1,674834.9,-76.67892,5.926375E-009,2.123874E-005,4,2024-04-24,E10
